Map,Algorithm,Ablation Mode,Mission Time,Partition Time,Path Planning Time,Algorithm Time
Small,SCoPP,Partition Ablation,302.5000000000003,0.0310060977935791,0.07604026794433594,1.1892895698547363
Small,SCoPP,Partition Ablation,302.5000000000003,0.03096151351928711,0.06461763381958008,1.3757524490356445
Small,SCoPP,Partition Ablation,302.5000000000003,0.030995845794677734,0.0639641284942627,1.3827366828918457
Small,SCoPP,Partition Ablation,302.5000000000003,0.030994653701782227,0.06399965286254883,1.3630549907684326
Small,SCoPP,Partition Ablation,302.5000000000003,0.04500007629394531,0.061893463134765625,1.4140338897705078
Small,SCoPP,Partition Ablation,302.5000000000003,0.03196430206298828,0.06604766845703125,1.3852999210357666
Small,SCoPP,Partition Ablation,302.5000000000003,0.030920743942260742,0.06198883056640625,1.3959102630615234
Small,SCoPP,Partition Ablation,302.5000000000003,0.03099822998046875,0.06215929985046387,1.368964433670044
Small,SCoPP,Partition Ablation,302.5000000000003,0.031000375747680664,0.0629420280456543,1.3697476387023926
Small,SCoPP,Partition Ablation,302.5000000000003,0.032956600189208984,0.06218743324279785,1.374755859375
Small,SCoPP,No Ablation,228.89999999999128,0.06502246856689453,0.06221628189086914,1.4098706245422363
Small,SCoPP,No Ablation,244.99999999999037,0.04399847984313965,0.06302475929260254,1.1125895977020264
Small,SCoPP,No Ablation,316.1000000000034,0.09549117088317871,0.12757086753845215,2.251413583755493
Small,SCoPP,No Ablation,262.79999999999126,0.09500002861022949,0.12009811401367188,2.4429104328155518
Small,SCoPP,No Ablation,284.1999999999961,0.09594321250915527,0.12023687362670898,2.4520561695098877
Small,SCoPP,No Ablation,264.09999999999155,0.09403562545776367,0.12150216102600098,2.4351887702941895
Small,SCoPP,No Ablation,234.29999999999097,0.0950002670288086,0.11900067329406738,2.433445453643799
Small,SCoPP,No Ablation,276.79999999999444,0.09103512763977051,0.11922383308410645,2.462242603302002
Small,SCoPP,No Ablation,270.399999999993,0.099029541015625,0.12125706672668457,2.486313819885254
Small,SCoPP,No Ablation,261.79999999999103,0.09896588325500488,0.12103486061096191,2.476898670196533
Medium,SCoPP,Partition Ablation,1593.2999999996464,4.213426113128662,4.925777435302734,16.485987186431885
Medium,SCoPP,Partition Ablation,1593.2999999996464,4.216458797454834,4.8650102615356445,15.669818639755249
Medium,SCoPP,Partition Ablation,1593.2999999996464,4.208168029785156,4.855156660079956,15.851366758346558
