Map,Algorithm,Ablation Mode,Mission Time,Partition Time,Path Planning Time,Algorithm Time
Small,SCoPP,Partition Ablation,227.09999999999138,0.05400967597961426,0.07700848579406738,1.2498760223388672
Small,SCoPP,Partition Ablation,227.09999999999138,0.05100560188293457,0.06502294540405273,1.2751963138580322
Small,SCoPP,Partition Ablation,227.09999999999138,0.047005414962768555,0.06600141525268555,1.268136739730835
Small,SCoPP,Partition Ablation,227.09999999999138,0.04900550842285156,0.08900904655456543,1.3081724643707275
Small,SCoPP,Partition Ablation,227.09999999999138,0.05100536346435547,0.06901431083679199,1.3124306201934814
Small,SCoPP,Partition Ablation,227.09999999999138,0.05000448226928711,0.0700082778930664,1.3326866626739502
Small,SCoPP,Partition Ablation,227.09999999999138,0.05100512504577637,0.06700682640075684,1.314685583114624
Small,SCoPP,Partition Ablation,227.09999999999138,0.051999568939208984,0.06300663948059082,1.287050485610962
Small,SCoPP,Partition Ablation,227.09999999999138,0.04900550842285156,0.06600689888000488,1.3047428131103516
Small,SCoPP,Partition Ablation,227.09999999999138,0.05148792266845703,0.06700730323791504,1.3375263214111328
Small,SCoPP,No Ablation,164.09999999999496,0.10101079940795898,0.06847071647644043,1.3246128559112549
Small,SCoPP,No Ablation,174.99999999999434,0.06800675392150879,0.0684363842010498,1.2956957817077637
Small,SCoPP,No Ablation,152.09999999999565,0.0700078010559082,0.0680079460144043,1.307145595550537
Small,SCoPP,No Ablation,143.8999999999961,0.06900286674499512,0.06600570678710938,1.2359559535980225
Small,SCoPP,No Ablation,174.39999999999438,0.07100868225097656,0.06781411170959473,1.2570126056671143
Small,SCoPP,No Ablation,153.59999999999556,0.06600689888000488,0.06600689888000488,1.2276496887207031
Small,SCoPP,No Ablation,163.699999999995,0.07200765609741211,0.06704998016357422,1.2464845180511475
Small,SCoPP,No Ablation,175.8999999999943,0.06601262092590332,0.06700778007507324,1.211216688156128
Small,SCoPP,No Ablation,159.9999999999952,0.06700730323791504,0.0680077075958252,1.2274985313415527
Small,SCoPP,No Ablation,158.79999999999526,0.06800699234008789,0.06600809097290039,1.2730176448822021
