Map,Algorithm,Ablation Mode,Mission Time,Partition Time,Path Planning Time,Algorithm Time
Medium,SCoPP,Partition Ablation,2727.6999999986147,0.8927500247955322,4.421667814254761,8.660538911819458
Medium,SCoPP,Partition Ablation,2727.6999999986147,0.9152731895446777,4.4323813915252686,8.489463329315186
Medium,SCoPP,Partition Ablation,2727.6999999986147,0.9294238090515137,4.562629461288452,8.66223692893982
Medium,SCoPP,Partition Ablation,2727.6999999986147,0.9229984283447266,4.455636262893677,8.650565385818481
Medium,SCoPP,Partition Ablation,2727.6999999986147,0.8970799446105957,4.4200146198272705,9.15310001373291
Medium,SCoPP,Partition Ablation,2727.6999999986147,0.8845033645629883,4.518585920333862,9.596512794494629
Medium,SCoPP,Partition Ablation,2727.6999999986147,0.9088284969329834,4.561971426010132,9.620879888534546
Medium,SCoPP,Partition Ablation,2727.6999999986147,0.9015095233917236,4.440912961959839,9.566706895828247
Medium,SCoPP,Partition Ablation,2727.6999999986147,0.8715331554412842,4.430720329284668,9.520135402679443
Medium,SCoPP,Partition Ablation,2727.6999999986147,0.9173953533172607,4.3757548332214355,9.47604250907898
Medium,SCoPP,No Ablation,3513.5999999979,1.0529978275299072,4.809030055999756,10.188920497894287
Medium,SCoPP,No Ablation,2922.999999998437,1.0760293006896973,4.595666170120239,9.329259157180786
Medium,SCoPP,No Ablation,3045.6999999983254,1.0141243934631348,4.636016368865967,9.254431009292603
Medium,SCoPP,No Ablation,3139.1999999982404,1.0256643295288086,4.531399250030518,9.269858360290527
Medium,SCoPP,No Ablation,2999.4999999983675,1.0082335472106934,4.510246276855469,9.080867052078247
Medium,SCoPP,No Ablation,2947.7999999984145,1.0433640480041504,4.571755886077881,8.800470113754272
Medium,SCoPP,No Ablation,2814.5999999985356,1.015998363494873,4.5737926959991455,8.739618062973022
Medium,SCoPP,No Ablation,2815.5999999985347,0.9972856044769287,4.55798077583313,8.692906379699707
Medium,SCoPP,No Ablation,2956.2999999984067,1.0560686588287354,4.72699499130249,8.945085287094116
Medium,SCoPP,No Ablation,3042.4999999983283,1.0134031772613525,4.6932532787323,8.909463167190552
Large,SCoPP,Partition Ablation,13702.400000032318,12.427188396453857,35.212432622909546,258.3505549430847
Large,SCoPP,Partition Ablation,13702.400000032318,12.046624183654785,34.7552056312561,256.0036196708679
Large,SCoPP,Partition Ablation,13702.400000032318,12.02027440071106,35.87696886062622,257.6261420249939
Large,SCoPP,Partition Ablation,13702.400000032318,12.283796310424805,34.88001346588135,258.7754981517792
Large,SCoPP,Partition Ablation,13702.400000032318,12.361704349517822,35.35185790061951,259.4654223918915
Large,SCoPP,Partition Ablation,13702.400000032318,12.259428262710571,35.22527313232422,259.54214119911194
Large,SCoPP,Partition Ablation,13702.400000032318,12.238369703292847,35.114030838012695,259.1377568244934
Large,SCoPP,Partition Ablation,13702.400000032318,12.251677989959717,35.04822516441345,259.44355964660645
Large,SCoPP,Partition Ablation,13702.400000032318,12.167821884155273,34.999491930007935,259.00140738487244
Large,SCoPP,Partition Ablation,13702.400000032318,12.251461744308472,34.912214279174805,258.8418483734131
Large,SCoPP,No Ablation,15448.100000038668,13.469936847686768,36.375754833221436,260.9757137298584
Large,SCoPP,No Ablation,17358.800000027888,13.24903655052185,36.91797161102295,259.41497564315796
Large,SCoPP,No Ablation,14012.400000033445,13.997551679611206,36.060805559158325,266.92864537239075
Large,SCoPP,No Ablation,15963.000000040542,13.459118366241455,36.12795400619507,262.2890908718109
Large,SCoPP,No Ablation,18932.200000004992,13.39596152305603,37.03863573074341,263.6417212486267
Large,SCoPP,No Ablation,16484.400000040612,13.1214120388031,36.30446243286133,257.7199273109436
Large,SCoPP,No Ablation,15237.900000037904,13.174319982528687,35.33113503456116,255.879807472229
Large,SCoPP,No Ablation,16369.20000004202,13.254953384399414,36.44713377952576,259.26770067214966
Large,SCoPP,No Ablation,17073.300000032043,13.204718112945557,35.542041540145874,256.1344225406647
Large,SCoPP,No Ablation,18363.100000013274,13.272794008255005,36.58848547935486,257.19384598731995
Baseline,SCoPP,Partition Ablation,170.19999999999462,0.17792129516601562,0.49326634407043457,0.9482624530792236
Baseline,SCoPP,Partition Ablation,170.19999999999462,0.17399978637695312,0.4910006523132324,0.937004804611206
Baseline,SCoPP,Partition Ablation,170.19999999999462,0.17607927322387695,0.48792099952697754,0.9399783611297607
Baseline,SCoPP,Partition Ablation,170.19999999999462,0.17399001121520996,0.5028820037841797,0.947808027267456
Baseline,SCoPP,Partition Ablation,170.19999999999462,0.179978609085083,0.493999719619751,0.9551610946655273
Baseline,SCoPP,Partition Ablation,170.19999999999462,0.17807912826538086,0.4920010566711426,0.9432601928710938
Baseline,SCoPP,Partition Ablation,170.19999999999462,0.17792153358459473,0.5116593837738037,0.9626579284667969
Baseline,SCoPP,Partition Ablation,170.19999999999462,0.1750020980834961,0.5028500556945801,0.9470081329345703
Baseline,SCoPP,Partition Ablation,170.19999999999462,0.17299962043762207,0.4931504726409912,0.939157247543335
Baseline,SCoPP,Partition Ablation,170.19999999999462,0.17294049263000488,0.4929642677307129,0.9399101734161377
Baseline,SCoPP,No Ablation,152.59999999999562,0.19807887077331543,0.5099983215332031,0.9830822944641113
Baseline,SCoPP,No Ablation,133.5999999999967,0.18700146675109863,0.5039999485015869,0.9637248516082764
Baseline,SCoPP,No Ablation,150.29999999999575,0.1919996738433838,0.5099997520446777,0.9747304916381836
Baseline,SCoPP,No Ablation,139.09999999999638,0.1919999122619629,0.519646167755127,0.9906513690948486
Baseline,SCoPP,No Ablation,141.79999999999623,0.2010054588317871,0.5050010681152344,0.9752953052520752
Baseline,SCoPP,No Ablation,161.19999999999513,0.18799138069152832,0.5009109973907471,0.9694929122924805
Baseline,SCoPP,No Ablation,144.99999999999605,0.18994402885437012,0.5069210529327393,0.969851016998291
